ablation,period,trades,payoff,delta_payoff_vs_selected,mean_trade_pct,delta_mean_trade_pct,avg_win_pct,avg_loss_pct,mtm_mdd_pct
ablation_no_fast_failure,validation28,103,5.494678717951614,-4.737230631069846,0.0158255272608802,-0.042901027342142205,1.2087780776048864,-0.219990674551307,-4.362202934224435
ablation_no_fast_failure,development56,165,8.323256691951878,-8.512920881179548,0.0616350661750976,-0.041189660814417904,1.712266678030852,-0.2057207582804118,-4.362202934224446
ablation_no_fast_failure,stress27,89,8.762949729063013,-3.135092356815891,-0.0014923872070492,-0.027755115688773497,1.0268772759338798,-0.1171839743104037,-3.576128606585882
ablation_no_fast_failure,all83,254,8.742027835070457,-6.778896562558051,0.039515604163243,-0.036482280829448,1.5195009086910785,-0.1738156109038323,-4.973890103250078
ablation_no_structure,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_no_structure,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_no_structure,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_no_structure,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_no_structure,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_no_trailing,fit28,62,31.9613687442527,-11.261918552137711,0.1447631170633082,-0.031321476955381206,4.107113549247732,-0.1285024299838934,-4.738423501729471
ablation_no_trailing,validation28,103,10.694890144429994,0.46298079540853365,0.0938007810381895,0.035074226435167104,1.4267286575610798,-0.1334028342782122,-6.097536534613591
ablation_no_trailing,development56,165,15.145894629954748,-1.690282943176678,0.1129502648779311,0.010125537888415595,1.9910202137056383,-0.1314560983256746,-6.097536534613601
ablation_no_trailing,stress27,89,11.70798716501196,-0.19005492086694353,0.0246040024360258,-0.0016587260456984998,1.010474318370861,-0.086306408106643,-1.8235202092193088
