name,period,symbol,direction,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
selected_1m,fit28,EXCLUDE_US.MU,BOTH_COUNTERFACTUAL,504,57,11.30952380952381,2,3.508771929824561,1.354259838398322,-0.09072804258595732,14.926584987384388,0.5427849086321596,-0.0400267134286142,-0.45268306853789864,0.07260196387719468,-0.8370278035425116,-0.21582039491105892,-0.3059452302468764,-0.45600526302210925,-0.0695498333579422,5.263157894736842,0.0
selected_1m,fit28,EXCLUDE_US.NVDA,BOTH_COUNTERFACTUAL,504,55,10.912698412698413,2,7.2727272727272725,4.107113549247732,-0.09222736387006122,44.532483385670965,3.4927437949545856,0.21317924799305094,2.326360841194008,2.3354082550181827,-0.8370278035425116,-0.22690792192703876,-0.32446902175164555,-0.45600526302210925,0.07027539274700394,9.090909090909092,0.0
selected_1m,fit28,EXCLUDE_US.QQQ,BOTH_COUNTERFACTUAL,504,55,10.912698412698413,2,5.454545454545454,5.111067507602679,-0.09806778425491185,52.117701510592504,3.006790471764952,0.1860668680282294,2.0304916153874237,2.198748135763638,-0.8370278035425116,-0.22690792192703876,-0.32446902175164555,-0.45600526302210925,0.04266093167172271,7.2727272727272725,0.0
selected_1m,fit28,EXCLUDE_US.SPY,BOTH_COUNTERFACTUAL,504,52,10.317460317460318,2,5.769230769230769,4.938395398125724,-0.10445305912942088,47.27860954275054,2.894608747515339,0.18648050571222213,1.9240052176657838,2.2389768104615393,-0.8370278035425116,-0.22991339087620472,-0.32446902175164555,-0.45600526302210925,0.03464703658345015,7.6923076923076925,0.0
selected_1m,fit28,EXCLUDE_US.TSLA,BOTH_COUNTERFACTUAL,504,55,10.912698412698413,2,7.2727272727272725,4.107113549247732,-0.09006039833993476,45.603990488087234,3.576783567693116,0.2151886160300773,2.3482884685821928,2.3658001627090917,-0.5780975007548483,-0.2164549685507649,-0.24609959542051144,-0.27646835854301416,0.07232197130323448,9.090909090909092,0.0
selected_1m,validation28,US.AAPL,LONG,28,3,10.714285714285714,2,33.333333333333336,0.8298239649149263,-0.15097963850562462,5.496264086524567,2.7481320432622836,0.17595489596789235,1.8852310282274178,0.6532699169999887,-0.3017318054428175,-0.15650452915645127,-0.15788575181915793,-0.15788575181915793,-0.15097963850562462,33.33333333333333,0.0
selected_1m,validation28,US.AAPL,SHORT,28,3,10.714285714285714,2,33.333333333333336,0.058008651741116066,-0.06102503933779892,0.9505713125396626,0.4752856562698313,-0.021347142311493917,-0.2287193819088634,-0.013321843999998842,-0.12201301952561305,-0.06443236582894735,-0.06528419745173447,-0.06528419745173447,-0.06102503933779892,33.33333333333333,0.0
selected_1m,validation28,US.AMD,LONG,28,4,14.285714285714286,2,0.0,,-0.34518798036717935,,0.0,-0.34518798036717935,-4.931256862388276,-1.75,-1.3738800066625534,-0.4990372874256207,-0.5234831281584792,-0.5234831281584792,-0.38734077963052665,0.0,0.0
selected_1m,validation28,US.AMD,SHORT,28,3,10.714285714285714,2,0.0,,-0.32844555239534684,,0.0,-0.32844555239534684,-3.519059489950145,-1.439166666666684,-0.9828206402524575,-0.5780841223778617,-0.6087414519270011,-0.6087414519270011,-0.4554548041813035,0.0,0.0
selected_1m,validation28,US.IWM,LONG,28,6,21.428571428571427,2,0.0,,-0.06855331240042745,,0.0,-0.06855331240042745,-1.468999551437731,-0.14583333333333334,-0.4107084039294384,-0.15963760398203056,-0.18895809176744996,-0.18895809176744996,-0.07758948412103696,0.0,0.0
