variation,id,period,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
indicator_rvol_min_x0.8,5d4f87eca289,development56,1120,199,17.767857142857142,5,7.035175879396985,1.344969773957878,-0.15940760427583084,8.43729996487878,0.6384983757205563,-0.053572009827228206,-0.9518598174659297,0.12060094368844268,-3.6320529690515246,-0.39214592963813644,-0.4833045068743826,-0.5534831281584792,-0.09656486836712087,8.040201005025125,0.0
indicator_rvol_min_x0.8,5d4f87eca289,stress27,540,115,21.296296296296298,2,11.304347826086957,1.0484548997590686,-0.09624025905802211,10.894140456614602,1.3884688817253905,0.03316006324304029,0.7061865320277099,0.03729271623478138,-1.159414153209759,-0.21149232385952615,-0.3238038063997839,-0.5984318298428156,-0.019691336814561155,11.304347826086957,0.0
indicator_rvol_min_x0.8,5d4f87eca289,stress27,540,115,21.296296296296298,5,11.304347826086957,1.0184548997590683,-0.12624025905802214,8.067591965974733,1.028222505467368,0.003160063243040286,0.06729764313882092,0.03729271623478138,-1.3079322609232946,-0.24149232385952615,-0.3538038063997839,-0.6284318298428156,-0.04969133681456115,11.304347826086957,0.0
indicator_rvol_min_x0.8,5d4f87eca289,all83,1660,314,18.91566265060241,2,8.598726114649681,1.217758908602896,-0.11761990667228908,10.353340204526761,0.9740076150600088,-0.002794339753722211,-0.052856788112576755,0.09008996866560494,-3.19640960213482,-0.31310285075975564,-0.4293994698492465,-0.5984318298428156,-0.05017516189943079,9.235668789808917,0.0
indicator_rvol_min_x0.8,5d4f87eca289,all83,1660,314,18.91566265060241,5,8.598726114649681,1.1877589086028957,-0.14761990667228908,8.04606191250126,0.756946591071547,-0.03279433975372223,-0.6203266676306494,0.09008996866560494,-3.6320529690515246,-0.3431028507597556,-0.45939946984924657,-0.6284318298428156,-0.0801751618994308,9.235668789808917,0.0
indicator_rvol_min_x1.2,88acf72cb982,development56,1120,129,11.517857142857142,2,7.751937984496124,1.408855523878488,-0.12568447661415943,11.209463267317837,0.9419717031359528,-0.006727887428682862,-0.07749084627679367,0.08770178247286518,-2.264093090814001,-0.37708898603542856,-0.48206313880012186,-0.6317082240693118,-0.06739051239310367,7.751937984496124,0.0
indicator_rvol_min_x1.2,88acf72cb982,development56,1120,129,11.517857142857142,5,7.751937984496124,1.378855523878488,-0.1556844766141594,8.856730959090894,0.7442631058059574,-0.036727887428682875,-0.4230265605625081,0.08770178247286518,-2.469825538257775,-0.40708898603542854,-0.5120631388001218,-0.6617082240693118,-0.09739051239310366,7.751937984496124,0.0
indicator_rvol_min_x1.2,88acf72cb982,stress27,540,66,12.222222222222221,2,7.575757575757576,0.9789426157622134,-0.08424348861962312,11.620395021653758,0.952491395217521,-0.003699086772514286,-0.04521106055295238,-0.1368918369393994,-0.8798502082193793,-0.18371320815083594,-0.27709708801964067,-0.47394497208375064,-0.061358755329335796,7.575757575757576,0.0
indicator_rvol_min_x1.2,88acf72cb982,stress27,540,66,12.222222222222221,5,7.575757575757576,0.9489426157622135,-0.1142434886196231,8.306316860838736,0.6808456443310439,-0.0336990867725143,-0.4118777272196192,-0.1368918369393994,-0.9990038520581335,-0.21371320815083594,-0.3070970880196407,-0.5039449720837508,-0.09135875532933582,7.575757575757576,0.0
indicator_rvol_min_x1.2,88acf72cb982,all83,1660,195,11.74698795180723,2,7.6923076923076925,1.2655512211730633,-0.11164058623823322,11.33594209611606,0.9446618413430049,-0.00570275489890272,-0.0669901930895199,0.01168548051794486,-2.264093090814001,-0.34348469896905326,-0.45725941190177627,-0.6317082240693118,-0.05359777841939582,7.6923076923076925,0.0
