period,additional_latency_minutes,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct,trading_dates,symbols_traded,max_win_pct,p90_win_pct,top1_winners_share_pct,top5_winners_share_pct,mean_without_best3_pct,mean_hold_minutes,mtm_mdd_pct_at2bps
development56,0,1120,48,4.285714285714286,0,8.333333333333334,3.563755752649142,-0.12360294461148441,28.832288452762477,2.621117132069316,0.18367694682690114,0.7871869149724334,1.6335820488958273,-0.7144803840353098,-0.37143021508109614,-0.5127715634391368,-0.6751418516124413,0.022470710135876606,8.333333333333332,0.0,28.0,9.0,7.740370071305053,6.727451564040694,54.60569669282882,100.0,-0.1318505030794904,34.791666666666664,-2.2903341794963783
development56,0,1120,48,4.285714285714286,2,8.333333333333334,3.543755752649142,-0.14360294461148443,24.677458823958794,2.2434053476326175,0.1636769468269011,0.7014726292581476,1.6335820488958273,-0.7543332319549956,-0.39143021508109616,-0.5327715634391367,-0.6951418516124414,0.0024707101358766087,8.333333333333332,0.0,28.0,9.0,7.740370071305053,6.727451564040694,54.60569669282882,100.0,-0.1318505030794904,34.791666666666664,-2.2903341794963783
development56,0,1120,48,4.285714285714286,5,8.333333333333334,3.513755752649142,-0.17360294461148443,20.240185214097426,1.8400168376452208,0.1336769468269011,0.572901200686719,1.6335820488958273,-0.8140975038345211,-0.4214302150810961,-0.5627715634391368,-0.7251418516124413,-0.027529289864123407,8.333333333333332,0.0,28.0,9.0,7.740370071305053,6.727451564040694,54.60569669282882,100.0,-0.1318505030794904,34.791666666666664,-2.2903341794963783
development56,0,1120,48,4.285714285714286,10,8.333333333333334,3.463755752649142,-0.22360294461148444,15.490653571971075,1.4082412338155523,0.0836769468269011,0.35861548640100477,1.6335820488958273,-1.10376788176626,-0.47143021508109617,-0.6127715634391369,-0.7751418516124413,-0.0775292898641234,8.333333333333332,0.0,28.0,9.0,7.740370071305053,6.727451564040694,54.60569669282882,100.0,-0.1318505030794904,34.791666666666664,-2.2903341794963783
development56,0,1120,48,4.285714285714286,20,8.333333333333334,3.363755752649142,-0.3236029446114845,10.394700693121456,0.9449727902837688,-0.01632305317309891,-0.0699559421704239,1.6335820488958273,-1.7950601415796186,-0.5714302150810961,-0.7127715634391368,-0.8751418516124414,-0.17752928986412342,8.333333333333332,0.0,28.0,9.0,7.740370071305053,6.727451564040694,54.60569669282882,100.0,-0.1318505030794904,34.791666666666664,-2.2903341794963783
stress27,0,540,27,5.0,0,7.407407407407407,0.45516970585872585,-0.10242128231877494,4.444093020062573,0.3555274416050058,-0.06111824615747858,-0.3055912307873929,-0.14464714403703316,-0.909761758176153,-0.23275710051357257,-0.4556869131173739,-0.6711950496845553,-0.09557039851826633,14.814814814814813,0.0,14.0,10.0,0.8146377152230031,0.7387441133501477,93.60000297073394,100.0,-0.12654930501847597,40.0,-1.1914409019211925
stress27,0,540,27,5.0,2,7.407407407407407,0.43516970585872583,-0.12242128231877492,3.5546899821354576,0.2843751985708366,-0.08111824615747858,-0.4055912307873929,-0.14464714403703316,-0.9495754834109027,-0.2527571005135726,-0.4756869131173739,-0.6911950496845553,-0.11557039851826634,14.814814814814813,0.0,14.0,10.0,0.8146377152230031,0.7387441133501477,93.60000297073394,100.0,-0.12654930501847597,40.0,-1.1914409019211925
stress27,0,540,27,5.0,5,7.407407407407407,0.4051697058587258,-0.15242128231877494,2.6582226556220085,0.21265781244976067,-0.11111824615747859,-0.5555912307873929,-0.14464714403703316,-1.009281071263024,-0.28275710051357256,-0.5056869131173739,-0.7211950496845553,-0.14557039851826634,14.814814814814813,0.0,14.0,10.0,0.8146377152230031,0.7387441133501477,93.60000297073394,100.0,-0.12654930501847597,40.0,-1.1914409019211925
stress27,0,540,27,5.0,10,3.7037037037037037,0.7346377152230031,-0.19557039851826638,3.756385019353466,0.14447634689821023,-0.1611182461574786,-0.8055912307873929,-0.14464714403703316,-1.1327792803219716,-0.33275710051357255,-0.555686913117374,-0.7711950496845553,-0.19557039851826633,14.814814814814813,0.0,14.0,10.0,0.8146377152230031,0.7387441133501477,93.60000297073394,100.0,-0.12654930501847597,40.0,-1.1914409019211925
stress27,0,540,27,5.0,20,3.7037037037037037,0.634637715223003,-0.2955703985182663,2.1471626333507228,0.08258317820579703,-0.26111824615747853,-1.305591230787393,-0.14464714403703316,-1.4302120652214811,-0.4327571005135726,-0.655686913117374,-0.8711950496845554,-0.2955703985182663,14.814814814814813,0.0,14.0,10.0,0.8146377152230031,0.7387441133501477,93.60000297073394,100.0,-0.12654930501847597,40.0,-1.1914409019211925
