trading_date,owner,owner_name,lead_code,lead_name,option_type,strike,expiry,dte,volume,turnover,owner_turnover,owner_volume,n_contracts,oi_increment,iv,change_ratio,day_chg_pct,open_chg_pct,ret_1d,ret_2d,alert_reason
2026-08-18,HK.01024,KUAISHOU-W,HK.KST260828C42000,KST 260828 42.00 C,CALL,42.0,2026-08-28,10.0,3831,1196410.0,1494205.0,4356.0,2,2934.0,62.931,-24.719,-1.7465069860279292,0.0,-4.012188928390059,-14.575926866429667,contract+owner_sum
2026-08-18,HK.00992,联想集团,HK.LEN260828C33000,LEN 260828 33.00 C,CALL,33.0,2026-08-28,10.0,199,377920.0,1432280.0,815.0,5,58.0,70.859,-51.572,-5.087825560266513,0.0,-3.892788768347155,-5.169112954690491,contract+owner_sum
2026-08-18,HK.09888,BIDU-W,HK.BIU260828C105000,BIU 260828 105.00 C,CALL,105.0,2026-08-28,10.0,2652,932871.0,1336720.5,4135.0,2,,62.504,16.355,0.7976071784645988,0.9970089730807485,-11.02868447082096,-8.852621167161212,contract+owner_sum
2026-08-19,HK.09988,阿里巴巴-W,HK.ALB260828C130000,ALB 260828 130.00 C,CALL,130.0,2026-08-28,9.0,13777,17991055.0,35774665.0,26010.0,20,10038.0,64.298,-23.888,-1.9731649565903675,-1.6574585635359185,1.6103059581320522,-0.9661835748792313,contract+owner_sum
2026-08-19,HK.09992,泡泡玛特,HK.POP260821C152500,POP 260821 152.50 C,CALL,152.5,2026-08-21,2.0,6658,5958276.0,13326268.0,21162.0,7,1331.0,140.277,-1.136,0.26648900732844094,0.4663557628247883,2.126245847176067,-0.9966777408637828,contract+owner_sum
2026-08-19,HK.01810,小米集团-W,HK.MIU260828C28000,MIU 260828 28.00 C,CALL,28.0,2026-08-28,9.0,2537,1707950.0,6007250.0,13826.0,11,,45.11,52.777,4.8128342245989275,2.9793735676088673,1.1661807580174877,5.758017492711365,contract+owner_sum
2026-08-19,HK.00700,腾讯控股,HK.TCH260828C450000,TCH 260828 450.00 C,CALL,450.0,2026-08-28,9.0,2189,1600309.0,5454470.0,7701.0,7,421.0,27.179,16.616,1.0849909584086825,-0.9493670886075889,0.939177101967803,2.1914132379248663,contract+owner_sum
2026-08-19,HK.01347,HUA HONG GRACE,HK.HOS260828C85000,HOS 260828 85.00 C,CALL,85.0,2026-08-28,9.0,32,1908640.0,5432260.0,602.0,9,,181.312,-31.862,-11.792086889061293,-2.948021722265326,-1.58311345646438,0.9674582233949014,contract+owner_sum
2026-08-19,HK.03690,美团-W,HK.MET260828C87500,MET 260828 87.50 C,CALL,87.5,2026-08-28,9.0,1962,2141360.0,4388765.0,5836.0,4,1426.0,44.272,37.5,1.7533606078316666,0.058445353594382965,-1.378518093049974,-2.3549684089603673,contract+owner_sum
2026-08-19,HK.00981,SMIC,HK.SMC260828C70000,SMC 260828 70.00 C,CALL,70.0,2026-08-28,9.0,198,1547325.0,3818350.0,744.0,6,,62.657,-38.686,-3.7574159525379014,-3.0982201713908974,-1.2328767123287787,-0.6849315068493178,contract+owner_sum
2026-08-19,HEX,,HK.HEX260821C410000,HEX 260821 410.00 C,CALL,410.0,2026-08-21,2.0,2194,622598.0,1855129.0,5954.0,3,83.0,26.681,162.032,,,,,contract+owner_sum
2026-08-19,HK.00005,HSBC HOLDINGS,HK.HKB260828C160000,HKB 260828 160.00 C,CALL,160.0,2026-08-28,9.0,583,592084.0,1358236.0,1363.0,3,310.0,23.422,-25.737,-0.5552128315854499,-0.30845157310301907,-0.5583126550868345,1.0545905707196157,contract+owner_sum
2026-08-19,AIA,,HK.AIA260828C75000,AIA 260828 75.00 C,CALL,75.0,2026-08-28,9.0,708,546450.0,1344920.0,1024.0,3,,38.81,6.593,,,,,contract+owner_sum
2026-08-19,HK.01211,BYD COMPANY,HK.BYD260828C87500,BYD 260828 87.50 C,CALL,87.5,2026-08-28,9.0,773,1184530.0,1184530.0,773.0,1,,38.22,-10.136,-0.6666666666666599,-0.4444444444444473,2.684563758389258,4.194630872483218,contract+owner_sum
2026-08-19,YOF,,HK.YOF260828C132500,YOF 260828 132.50 C,CALL,132.5,2026-08-28,9.0,223,1079360.0,1079360.0,223.0,1,185.0,134.546,-51.842,,,,,contract+owner_sum
2026-08-19,HK.00992,联想集团,HK.LEN260828C32000,LEN 260828 32.00 C,CALL,32.0,2026-08-28,9.0,398,534940.0,1035740.0,439.0,2,,69.339,-47.663,-3.892788768347155,-2.361199744735154,-1.3280212483399834,-1.1288180610889764,contract+owner_sum
2026-08-20,HK.09988,阿里巴巴-W,HK.ALB260828C45000,ALB 260828 45.00 C,CALL,45.0,2026-08-28,8.0,500,20130025.0,45001400.0,24215.0,20,500.0,418.012,3.931,1.6103059581320522,1.9323671497584405,-2.535657686212367,-10.855784469096674,contract+owner_sum
2026-08-20,HK.09992,泡泡玛特,HK.POP260828C167500,POP 260828 167.50 C,CALL,167.5,2026-08-28,8.0,9169,3243868.0,12434242.0,22986.0,11,6444.0,69.304,38.4,2.126245847176067,0.9966777408637828,-3.0579050097592653,0.8458035133376729,contract+owner_sum
